date_id,date,day,month,quarter,year
1,2023-01-12,12,1,Q1,2023
2,2023-02-18,18,2,Q1,2023
3,2023-03-05,5,3,Q1,2023
4,2023-03-22,22,3,Q1,2023
5,2023-04-10,10,4,Q2,2023
6,2023-04-25,25,4,Q2,2023
7,2023-05-11,11,5,Q2,2023
8,2023-05-27,27,5,Q2,2023
9,2023-06-02,2,6,Q2,2023
10,2023-06-19,19,6,Q2,2023
11,2023-07-03,3,7,Q3,2023
12,2023-07-20,20,7,Q3,2023
13,2023-08-08,8,8,Q3,2023
14,2023-08-21,21,8,Q3,2023
15,2023-09-05,5,9,Q3,2023
16,2023-09-18,18,9,Q3,2023
17,2023-10-07,7,10,Q4,2023
18,2023-10-23,23,10,Q4,2023
19,2023-11-11,11,11,Q4,2023
20,2023-11-28,28,11,Q4,2023
21,2023-12-09,9,12,Q4,2023
22,2023-12-22,22,12,Q4,2023
23,2024-01-05,5,1,Q1,2024
24,2024-01-19,19,1,Q1,2024
25,2024-02-02,2,2,Q1,2024
